id_fuente,cod_div_ind,region,año,inv tierras y terrenos EFA,inv maquinaria y equipo EFA,inv construcciones y edificaciones EFA,inversión total EFA,materiales y suministros EFA,pequeñas herramientas EFA,mantenimiento de equipos EFA,"medición, control y análisis EFA",total costos y gastos EFA,total inversión y gastos EFA,inv maquinaria y equipo (GEE),inv construcciones y edificaciones (GEE),inversión total (GEE),materiales y suministros (GEE),pequeñas herramientas (GEE),mantenimiento de equipos (GEE),"medición, control y análisis (GEE)",total costos y gastos (GEE),total inversión y gastos (GEE)
140408.0,1,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140415.0,1,6,2019,0,0,0,0,0,0,4234,3500,7734,7734,0,0,0,0,0,0,0,0,0
140418.0,1,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140419.0,1,6,2019,0,80000,0,80000,0,0,0,0,0,80000,0,0,0,0,0,0,0,0,0
140420.0,1,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,3676,0,0,0,3676,3676
140460.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140471.0,1,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140474.0,999,6,2019,0,0,0,0,0,0,103382,0,103382,103382,0,0,0,0,0,0,0,0,0
140475.0,9,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140540.0,2,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100
140541.0,7,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140542.0,9,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140543.0,999,6,2019,0,0,0,0,0,0,103382,0,103382,103382,0,0,0,0,0,0,0,0,0
140544.0,9,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140545.0,7,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140547.0,8,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,450,450
140548.0,8,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140550.0,4,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140553.0,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140567.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140577.0,6,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140578.0,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140580.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140607.0,9,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140608.0,1,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140635.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140636.0,9,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140657.0,1,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140663.0,6,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140666.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140667.0,4,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140671.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,14067,0,14652,14652
140672.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140675.0,8,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140680.0,6,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140681.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140690.0,4,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140694.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140698.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140699.0,1,5,2019,0,161269,0,161269,0,0,0,0,0,161269,0,0,0,0,0,0,0,0,0
140700.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140702.0,9,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140703.0,5,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140709.0,4,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140711.0,8,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140714.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140716.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,5120,0,5500,5500
140721.0,9,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140722.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140727.0,4,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,10000,0,15000,15000
140729.0,9,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140732.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140733.0,1,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8950,0,8950,8950
140735.0,1,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140736.0,1,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140738.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140741.0,4,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140745.0,5,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140747.0,8,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
