CODIGO_REGISTRO;CODIGO_ACTIVIDAD;CODIGO_REGION;FACTOR_EXPANSION;C1INVR1C1A2;C1INVR1C1A3;C1INVR1T2;C1CYGR1C1G1;C1CYGR1C1G2;C1CYGR1C1G3;MCAPCOATM;C1CYGR1T2;C1IYGTOTR1C1;C1INVR1C2A1;C1INVR1C2A2;C1INVR1C2A3;C1INVR1T3;C1CYGR1C2G1;C1CYGR1C2G2;C1CYGR1C2G3;MCATRGEAV;C1CYGR1T3;C1IYGTOTR1C2;C1IYGTOTR1;C1INVR2A1A2;C1INVR2A1A3;C1INVR2T6;C1CYGR2A1G1;C1CYGR2A1G2;C1CYGR2A1G3;MCAPCAGRE;C1CYGR2T6;C1IYGTOTR2A1;C1INVR2A2A1;C1INVR2A2A2;C1INVR2A2A3;C1INVR2T7;C1CYGR2A2G1;C1CYGR2A2G2;C1CYGR2A2G3;MCATRATGR;C1CYGR2T7;C1IYGTOTR2A2;C1IYGTOTR2;C1INVR3R1A2;C1INVR3R1A3;C1INVR3T10;C1CYGR3R1G1;C1CYGR3R1G2;C1CYGR3R1G3;MCAPPRESM;C1CYGR3T10;C1IYGTOTR3R1;C1INVR3R2A1;C1INVR3R2A2;C1INVR3R2A3;C1INVR3T11;C1CYGR3R2G1;C1CYGR3R2G2;C1CYGR3R2G3;MCATERESP;C1CYGR3T11;C1IYGTOTR3R2;C1INVR3R3A1;C1INVR3R3A2;C1INVR3R3A3;C1INVR3T12;C1CYGR3R3G1;C1CYGR3R3G2;C1CYGR3R3G3;MCAELRNOP;C1CYGR3T12;C1IYGTOTR3R3;C1IYGTOTR3;TYTPRINCON;MYEPRINCON;CYEPRINCON;TINPRINCON;MPSPRINCON;PHEPRINCON;MREPRINCON;MCAPRINCON;TCGPRINCON;INGAPRINCON;TYTDESUCUA;MYEDESUCUA;CYEDESUCUA;TINDESUCUA;MPSDESUCUA;PHEDESUCUA;MREDESUCUA;MCADESUCUA;TCGDESUCUA;INGADESUCUA;C1IYGTOTR4;C1INVR5R1A2;C1INVR5R1A3;C1INVR5T16;C1CYGR5R1G2;C1CYGR5R1G3;MACMOPRLO;C1CYGR5T16;C1IYGTOTR5R1;C1INVR5R2A3;C1INVR5T17;C1CYGR5R2G2;C1CYGR5R2G3;MCACODIAR;C1CYGR5T17;C1IYGTOTR5R2;C1IYGTOTR5;C1INVR6A1;C1INVR6A3;C1INVR6T19;C1CYGR6G2;MCAVTPRBIP;C1CYGR6T19;C1INVTOTA1;C1INVTOTA2;C1INVTOTA3;C1INVTOT21;C1CYGTOTG1;C1CYGTOTG2;C1CYGTOTG3;TOTAMCAE;C1CYGTOT21;C1IYGTOT;C1IYGTOTR6;C1INYGRMYE;C1MAEQRCEN;C1CYERCEN;C1INVRECEN;C1MASUMRCEN;C1PEHERRCEN;C1MANTEQRCEN;C1MCANRCEN;C1TCYGRCEN;C1IYGTRCEN;C1TIYTGENALT;C1MAEQENALT;C1CYEENALT;C1INVENALT;C1MASUMENALT;C1PEHERENALT;C1MANTEQENALT;C1MCANENALT;C1TCYGENALT;C1IYGTENALT
140408;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7310;7310;7310;7310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9924;885;10809;10809;10809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;609;609;609;609;0;0;0;0;0;603;603;603;0;0;0;0;0;0;0;603;0;0;0;0;0;0;0;0;0;0;0;0;9924;9407;19331;19331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140415;1;6;1;0;0;0;0;0;2515;8950;11465;11465;0;0;0;0;0;0;1323;8950;10273;10273;21738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5200;5200;5200;0;0;0;0;0;0;0;5200;0;0;0;0;0;0;0;0;0;0;0;0;8072;26600;34672;34672;0;7734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4234;3500;7734;7734
140418;1;6;1;0;0;0;0;0;0;0;0;0;0;200000;0;200000;0;0;0;0;0;200000;200000;0;0;0;0;0;0;0;0;0;0;0;45000;45000;0;0;0;0;0;45000;45000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30000;30000;0;0;0;0;0;30000;30000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200000;75000;275000;0;0;0;0;0;275000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140419;1;6;1;0;0;0;0;0;0;0;0;0;0;30000;0;30000;0;0;0;20000;20000;50000;50000;500;0;500;30000;0;1000;0;31000;31500;0;0;20000;20000;3000;0;0;4000;7000;27000;58500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3500;3500;0;0;0;0;0;3500;3500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8000;8000;0;3000;0;3000;11000;2000;2000;0;0;0;0;2000;13000;0;0;0;0;0;0;0;110500;33500;144000;33000;0;4000;24000;61000;205000;0;80000;0;0;0;0;0;0;0;0;0;0;80000;0;80000;0;0;0;0;0;80000
140420;1;6;1;0;0;0;0;0;0;7223;7223;7223;0;0;0;0;0;0;0;0;0;0;7223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3676;0;0;7223;10899;10899;0;3676;0;0;0;3676;0;0;0;3676;3676;0;0;0;0;0;0;0;0;0;0
140460;1;2;1;0;0;0;0;0;0;3600;3600;3600;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;283621;0;0;0;283621;283621;283621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;283621;0;0;3600;287221;287221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140471;1;6;1;0;0;0;0;0;0;27550;27550;27550;0;0;0;0;0;0;0;0;0;0;27550;0;0;0;0;0;0;2533;2533;2533;0;0;0;0;7432;0;0;0;7432;7432;9965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1540;1540;1540;0;0;0;0;0;0;0;1540;0;0;0;0;0;0;0;0;0;0;7432;0;0;31623;39055;39055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140474;999;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34100;34100;34100;34100;0;1644;1644;0;0;0;0;0;1644;0;0;0;0;321;0;0;11416;11737;11737;13381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1587;1587;1587;0;0;0;0;0;0;0;211;211;211;1798;0;0;0;0;0;0;0;0;0;0;0;0;4289;4289;4289;4289;0;0;0;0;0;0;0;0;1644;1644;321;0;103382;51602;155305;156949;0;103382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103382;0;103382;103382
140475;9;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140540;2;2;1;0;0;0;0;0;0;30000;30000;30000;0;0;0;0;0;0;775500;0;775500;775500;805500;0;0;0;100;100;1500;10;1710;1710;0;0;0;0;0;0;0;0;0;0;1710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;1000;1000;0;0;0;0;0;0;0;1000;5000;0;5000;0;0;0;5000;0;0;5000;100;100;778100;30010;808310;813310;5000;100;0;0;0;0;0;100;0;100;100;0;0;0;0;0;0;0;0;0;0
140541;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332;332;4808;0;0;0;4808;5140;0;0;0;0;0;0;0;0;0;0;5140;0;0;0;0;1600;0;0;0;1600;1600;0;0;0;0;0;0;0;0;0;0;1600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6000;0;6000;0;0;0;6000;0;332;6332;6408;0;0;0;6408;12740;6000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140542;9;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;100;0;0;0;0;600;0;0;0;600;600;700;0;0;0;0;100;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;100;0;900;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
